study_a,study_b,jaccard,sorensen_dice,overlap_coefficient
ehmi_japan_germany_hitl_mobo,opticarvis_chi25,0.0,0.0,0.0
ehmi_japan_germany_hitl_mobo,osf_cwd6h,0.0,0.0,
ehmi_japan_germany_hitl_mobo,partial_automation_workload_real_traffic,0.1111111111111111,0.2,0.3333333333333333
ehmi_japan_germany_hitl_mobo,road_bumps_touch,0.0,0.0,
ehmi_japan_germany_hitl_mobo,roads_chi25,0.045454545454545456,0.08695652173913043,0.3333333333333333
ehmi_japan_germany_hitl_mobo,td2d_takeover_distracted_l2,0.1,0.18181818181818182,0.3333333333333333
ehmi_optimization_chi25,fact_av,0.5,0.6666666666666666,0.8
ehmi_optimization_chi25,fourtu_critical_ehmi,0.0,0.0,
ehmi_optimization_chi25,longitudinal_usa_germany_ehmi,0.1111111111111111,0.2,0.3333333333333333
ehmi_optimization_chi25,mimbcd_uta7_nasa_tlx,0.07692307692307693,0.14285714285714285,0.14285714285714285
ehmi_optimization_chi25,opticarvis_chi25,0.2857142857142857,0.4444444444444444,1.0
ehmi_optimization_chi25,osf_cwd6h,0.0,0.0,
ehmi_optimization_chi25,partial_automation_workload_real_traffic,0.07692307692307693,0.14285714285714285,0.14285714285714285
ehmi_optimization_chi25,road_bumps_touch,0.0,0.0,
ehmi_optimization_chi25,roads_chi25,0.038461538461538464,0.07407407407407407,0.14285714285714285
ehmi_optimization_chi25,td2d_takeover_distracted_l2,0.07142857142857142,0.13333333333333333,0.14285714285714285
fact_av,fourtu_critical_ehmi,0.0,0.0,
fact_av,longitudinal_usa_germany_ehmi,0.14285714285714285,0.25,0.3333333333333333
fact_av,mimbcd_uta7_nasa_tlx,0.09090909090909091,0.16666666666666666,0.2
fact_av,opticarvis_chi25,0.0,0.0,0.0
fact_av,osf_cwd6h,0.0,0.0,
fact_av,partial_automation_workload_real_traffic,0.09090909090909091,0.16666666666666666,0.2
fact_av,road_bumps_touch,0.0,0.0,
fact_av,roads_chi25,0.041666666666666664,0.08,0.2
fact_av,td2d_takeover_distracted_l2,0.08333333333333333,0.15384615384615385,0.2
fourtu_critical_ehmi,longitudinal_usa_germany_ehmi,0.0,0.0,
fourtu_critical_ehmi,mimbcd_uta7_nasa_tlx,0.0,0.0,
fourtu_critical_ehmi,opticarvis_chi25,0.0,0.0,
fourtu_critical_ehmi,osf_cwd6h,,,
fourtu_critical_ehmi,partial_automation_workload_real_traffic,0.0,0.0,
fourtu_critical_ehmi,road_bumps_touch,,,
fourtu_critical_ehmi,roads_chi25,0.0,0.0,
fourtu_critical_ehmi,td2d_takeover_distracted_l2,0.0,0.0,
longitudinal_usa_germany_ehmi,mimbcd_uta7_nasa_tlx,0.1111111111111111,0.2,0.3333333333333333
longitudinal_usa_germany_ehmi,opticarvis_chi25,0.0,0.0,0.0
longitudinal_usa_germany_ehmi,osf_cwd6h,0.0,0.0,
longitudinal_usa_germany_ehmi,partial_automation_workload_real_traffic,0.1111111111111111,0.2,0.3333333333333333
longitudinal_usa_germany_ehmi,road_bumps_touch,0.0,0.0,
longitudinal_usa_germany_ehmi,roads_chi25,0.045454545454545456,0.08695652173913043,0.3333333333333333
longitudinal_usa_germany_ehmi,td2d_takeover_distracted_l2,0.1,0.18181818181818182,0.3333333333333333
mimbcd_uta7_nasa_tlx,opticarvis_chi25,0.0,0.0,0.0
mimbcd_uta7_nasa_tlx,osf_cwd6h,0.0,0.0,
mimbcd_uta7_nasa_tlx,partial_automation_workload_real_traffic,1.0,1.0,1.0
mimbcd_uta7_nasa_tlx,road_bumps_touch,0.0,0.0,
mimbcd_uta7_nasa_tlx,roads_chi25,0.35,0.5185185185185185,1.0
mimbcd_uta7_nasa_tlx,td2d_takeover_distracted_l2,0.875,0.9333333333333333,1.0
opticarvis_chi25,osf_cwd6h,0.0,0.0,
opticarvis_chi25,partial_automation_workload_real_traffic,0.0,0.0,0.0
opticarvis_chi25,road_bumps_touch,0.0,0.0,
opticarvis_chi25,roads_chi25,0.0,0.0,0.0
