study,dv,n,mean,sd,mean_z_vs_global,scale_note,mapping_source
ehmi_optimization_chi25,AOA1,740,-0.7127027027027026,0.19658999115051867,0.41172593576980104,rescaled 0.0-20.0 -> -2.0-2.0,unknown
opticarvis_chi25,AOA1,97,-0.8924686222184706,0.23805234016076224,-0.41172593576980104,rescaled 0.0-20.0 -> -2.0-2.0,schema
ehmi_optimization_chi25,AOA2,740,-0.7335135135135135,0.2162819817328293,0.43681303703539504,rescaled 0.0-20.0 -> -2.0-2.0,unknown
opticarvis_chi25,AOA2,97,-0.9375221548659998,0.24956908816508364,-0.4368130370353946,rescaled 0.0-20.0 -> -2.0-2.0,schema
ehmi_for_all_chi26,AOA_SATISFYING,32,-0.0060897435897435855,0.24860018155415392,0.23280944893832697,,unknown
roads_chi25,AOA_SATISFYING,8,-0.15625,0.38236809116721177,-0.23280944893832692,,unknown
ehmi_for_all_chi26,AOA_USEFULNESS,31,1.4383861658055206,0.3048118563681058,0.40516366877254945,,unknown
roads_chi25,AOA_USEFULNESS,14,1.1828571428571428,0.32552877993963386,-0.4051636687725487,,unknown
ehmi_for_all_chi26,SUS1,40,3.4375,0.68298957142053,-0.15545124377704878,,schema
roads_chi25,SUS1,23,3.6413043478260865,0.6268582388761463,0.15545124377704947,,schema
ehmi_for_all_chi26,SUS10,40,1.6625,0.6095405225438109,-0.425896022119943,,schema
roads_chi25,SUS10,23,2.2934782608695654,0.8520139410943111,0.425896022119943,,schema
ehmi_for_all_chi26,SUS2,40,1.8222222222222222,0.6052163246477518,-0.29281261979270873,,schema
roads_chi25,SUS2,23,2.210144927536232,0.7150393633728114,0.2928126197927084,,schema
ehmi_for_all_chi26,SUS3,40,3.7208333333333328,0.6540215162487897,-0.027180177245856387,,schema
roads_chi25,SUS3,23,3.7572463768115942,0.6853043651567838,0.027180177245856387,,schema
ehmi_for_all_chi26,SUS4,40,1.5194444444444444,0.6192222654199133,-0.400449922313039,,schema
roads_chi25,SUS4,23,2.1847826086956514,0.9984067237085399,0.400449922313039,,schema
ehmi_for_all_chi26,SUS5,40,3.4972222222222222,0.755579646004415,-0.15020976869787467,,schema
roads_chi25,SUS5,23,3.6992753623188404,0.5777542350191514,0.15020976869787467,,schema
ehmi_for_all_chi26,SUS6,40,1.9430555555555558,0.7427487917512824,-0.017287995763406915,,schema
roads_chi25,SUS6,23,1.971014492753623,0.8695206126021446,0.017287995763407192,,schema
ehmi_for_all_chi26,SUS7,40,3.865277777777778,0.666178299280617,0.0955906017677202,,schema
roads_chi25,SUS7,23,3.7246376811594204,0.7990820106395288,-0.0955906017677208,,schema
ehmi_for_all_chi26,SUS8,40,2.3736111111111113,0.7882875100371259,0.05915983792507493,,schema
roads_chi25,SUS8,23,2.282608695652174,0.7494691431183843,-0.05915983792507551,,schema
ehmi_for_all_chi26,SUS9,40,3.479166666666667,0.6881265311145025,-0.09760905528206472,,schema
roads_chi25,SUS9,23,3.601449275362319,0.5578619231856213,0.09760905528206401,,schema
mimbcd_uta7_nasa_tlx,TLX_SCORE,90,6.111111111111111,1.9687001484880016,-0.8953925778472183,,unknown
partial_automation_workload_real_traffic,TLX_SCORE,18,4.703703703703703,2.708951245080053,-1.0192672020363813,,unknown
roads_chi25,TLX_SCORE,23,7.916666666666669,2.3665601116525847,-0.7364744744466472,,unknown
td2d_takeover_distracted_l2,TLX_SCORE,499,46.40514362057448,22.350038664105412,2.6511342543302465,,unknown
ehmi_optimization_chi25,acceptance_rating,37,6.3844594594594595,0.8028454464034849,0.0,,schema
ehmi_japan_germany_hitl_mobo,aesthetics_rating,1520,5.202842105263158,1.8189094755160204,0.0,,schema
ehmi_for_all_chi26,crossing_initiation_time,40,16.414158943750003,3.6419756238271077,0.0,,schema
mimbcd_uta7_nasa_tlx,effort,90,3.8333333333333335,2.9499571507076565,-0.8274764154617622,,schema
partial_automation_workload_real_traffic,effort,18,4.333333333333333,2.700762419587999,-0.6914515988658648,,schema
roads_chi25,effort,23,8.065217391304346,2.4374700881017732,0.32380609021945655,,schema
td2d_takeover_distracted_l2,effort,500,11.268,5.666426809336827,1.1951219241081696,rescaled 0.0-100.0 -> 0.0-20.0,schema
