study,dv,cohens_d,hedges_g,var_g,se_g,mapping_source
ehmi_optimization_chi25,AOA1,0.10321999648409806,0.10311520460949491,0.0013585356387984177,0.03685831844778622,unknown
opticarvis_chi25,AOA1,-0.7874515195694071,-0.7812834920009782,0.013455690179758983,0.11599866456023958,schema
ehmi_optimization_chi25,AOA2,0.10727252593942696,0.10716361982172196,0.0013591108387927668,0.03686612047385467,unknown
opticarvis_chi25,AOA2,-0.8183677236616079,-0.8119575326146501,0.01370760327200861,0.11707947417036263,schema
ehmi_for_all_chi26,AOA_SATISFYING,0.10706446164537939,0.10445313331256526,0.031420475891543946,0.17725821812131573,unknown
roads_chi25,AOA_SATISFYING,-0.42825784658151755,-0.38067364140579335,0.13405702632882166,0.3661379880985059,unknown
ehmi_for_all_chi26,AOA_USEFULNESS,0.25528799046488754,0.24885215877249542,0.03325689349880211,0.1823647265750757,unknown
roads_chi25,AOA_USEFULNESS,-0.5652805503151085,-0.5320287532377491,0.08153766408113262,0.2855480066138313,unknown
ehmi_for_all_chi26,SUS1,-0.11221622835602058,-0.11004430135558146,0.02515137185326048,0.15859184043720687,schema
roads_chi25,SUS1,0.19515865801047003,0.18842904911355726,0.0442501197076052,0.21035712421404987,schema
ehmi_for_all_chi26,SUS10,-0.3254750802767611,-0.31917556259398505,0.026273412996964837,0.16209075543338317,schema
roads_chi25,SUS10,0.5660436178726287,0.5465248724287449,0.04997150948224469,0.2235430819377882,schema
ehmi_for_all_chi26,SUS2,-0.21873124150422216,-0.21449773360414043,0.02557511597151641,0.1599222185048607,schema
roads_chi25,SUS2,0.38040215913777753,0.36728484330544037,0.04641082948091091,0.21543172812032796,schema
ehmi_for_all_chi26,SUS3,-0.019972052205867844,-0.019585496356722014,0.02500479489584424,0.15812904507345968,schema
roads_chi25,SUS3,0.034734003836290245,0.03353627956607334,0.043502710479285514,0.208573033921659,schema
ehmi_for_all_chi26,SUS4,-0.3116761609326207,-0.30564371910811833,0.02616772603787803,0.1617644152398111,schema
roads_chi25,SUS4,0.5420454972741232,0.5233542732301879,0.049432602071919525,0.2223344374403559,schema
ehmi_for_all_chi26,SUS5,-0.10599312589420583,-0.10394164603818894,0.025135048322264104,0.15854036811570768,schema
roads_chi25,SUS5,0.1843358711203573,0.17797946177137947,0.04416688453940065,0.21015918856762045,schema
ehmi_for_all_chi26,SUS6,-0.012897889755296014,-0.012648253179387059,0.025001999728856125,0.15812020657985534,schema
roads_chi25,SUS6,0.022431112617906673,0.02165762597590989,0.043488457668758966,0.208538863689143,schema
ehmi_for_all_chi26,SUS7,0.07155497379868375,0.07017003882193502,0.0250615479293534,0.1583083950059295,schema
roads_chi25,SUS7,-0.12444343269336179,-0.12015227984186656,0.04379209935546083,0.2092656191433768,schema
ehmi_for_all_chi26,SUS8,0.04290498807404562,0.04207456895003183,0.02502212836690414,0.15818384357103016,schema
roads_chi25,SUS8,-0.0746173705635585,-0.07204435778550476,0.04359109542366795,0.20878480649622938,schema
ehmi_for_all_chi26,SUS9,-0.06936079147179151,-0.06801832454007942,0.025057831155915495,0.15829665554241976,schema
roads_chi25,SUS9,0.1206274634292038,0.1164678957247485,0.04377314718988154,0.20922033168380538,schema
mimbcd_uta7_nasa_tlx,TLX_SCORE,-1.6038420037379613,-1.5902884093401757,0.02516120680489837,0.1586228445240419,unknown
