dv,n_studies,coverage_pct
mental_demand,10,71.42857142857143
TLX_SCORE,4,28.57142857142857
effort,4,28.57142857142857
frustration,4,28.57142857142857
performance,4,28.57142857142857
physical_demand,4,28.57142857142857
temporal_demand,4,28.57142857142857
trust_rating,4,28.57142857142857
perceived_safety,3,21.428571428571427
AOA1,2,14.285714285714285
AOA2,2,14.285714285714285
AOA_SATISFYING,2,14.285714285714285
AOA_USEFULNESS,2,14.285714285714285
SUS1,2,14.285714285714285
SUS10,2,14.285714285714285
SUS2,2,14.285714285714285
SUS3,2,14.285714285714285
SUS4,2,14.285714285714285
SUS5,2,14.285714285714285
SUS6,2,14.285714285714285
SUS7,2,14.285714285714285
SUS8,2,14.285714285714285
SUS9,2,14.285714285714285
understanding_rating,2,14.285714285714285
usability,2,14.285714285714285
acceptance_rating,1,7.142857142857142
aesthetics_rating,1,7.142857142857142
crossing_initiation_time,1,7.142857142857142
number_of_collisions,1,7.142857142857142
pedestrian_crossing_time,1,7.142857142857142
situational_awareness,1,7.142857142857142
task_completion_time,1,7.142857142857142
tia_item_01,1,7.142857142857142
tia_item_02,1,7.142857142857142
tia_item_03,1,7.142857142857142
tia_item_04,1,7.142857142857142
tia_item_05,1,7.142857142857142
tia_item_06,1,7.142857142857142
time_after_crossing,1,7.142857142857142
ueq_hedonic,1,7.142857142857142
ueq_pragmatic,1,7.142857142857142
