study,n,mean,sd,explained_variance_ratio,n_shared_dvs_used
3d_display_comp_vehicle,15,-1.5950204120448083e-15,0.42147178206815206,0.647662943597424,25
ehmi_for_all_chi26,80,-1.6951500966810862e-15,0.40993938801058905,0.647662943597424,25
ehmi_japan_germany_hitl_mobo,1520,-1.5822960631797924e-15,0.4073553842064935,0.647662943597424,25
ehmi_optimization_chi25,777,-1.6419727010913753e-15,0.4076064152309982,0.647662943597424,25
fact_av,10354,-1.6535181783020682e-15,0.40738711307141773,0.647662943597424,25
longitudinal_usa_germany_ehmi,56,-1.6048670329179718e-15,0.4108653912938099,0.647662943597424,25
mimbcd_uta7_nasa_tlx,90,-1.4679615547821513e-15,1.7846793826328478,0.647662943597424,25
opticarvis_chi25,97,-1.6287295802395173e-15,0.00010627381800736465,0.647662943597424,25
partial_automation_workload_real_traffic,18,-1.4186183092432557e-15,2.1346953643709137,0.647662943597424,25
roads_chi25,23,-1.9935743876964766e-15,2.258538286997624,0.647662943597424,25
td2d_takeover_distracted_l2,268052,8.334003705362224e-17,2.156227528573943,0.647662943597424,25
