dv,n_studies,coverage_pct
mental_demand,5,55.55555555555556
perceived_safety,2,22.22222222222222
trust_rating,2,22.22222222222222
understanding_rating,2,22.22222222222222
AOA_SATISFYING,1,11.11111111111111
AOA_USEFULNESS,1,11.11111111111111
SUS1,1,11.11111111111111
SUS10,1,11.11111111111111
SUS2,1,11.11111111111111
SUS3,1,11.11111111111111
SUS4,1,11.11111111111111
SUS5,1,11.11111111111111
SUS6,1,11.11111111111111
SUS7,1,11.11111111111111
SUS8,1,11.11111111111111
SUS9,1,11.11111111111111
TLX_SCORE,1,11.11111111111111
acceptance_rating,1,11.11111111111111
crossing_initiation_time,1,11.11111111111111
effort,1,11.11111111111111
frustration,1,11.11111111111111
number_of_collisions,1,11.11111111111111
pedestrian_crossing_time,1,11.11111111111111
performance,1,11.11111111111111
physical_demand,1,11.11111111111111
situational_awareness,1,11.11111111111111
temporal_demand,1,11.11111111111111
time_after_crossing,1,11.11111111111111
usability,1,11.11111111111111
