study,dv,cohens_d,hedges_g,var_g,se_g,mapping_source
3d_display_comp_vehicle,mental_demand,-0.3579645269889868,-0.33843918915322385,0.07048470282515638,0.2654895531375131,schema
ehmi_optimization_chi25,mental_demand,-0.16979450876238045,-0.16623238620093192,0.027400448732730485,0.1655308090137014,schema
fact_av,mental_demand,0.003398485804767974,0.0033982396030965752,9.658158914585667e-05,0.00982759325297179,schema
longitudinal_usa_germany_ehmi,mental_demand,-0.6838205202529383,-0.6630986863058795,0.0469173051496266,0.2166040284704479,schema
roads_chi25,mental_demand,-0.2502923376933332,-0.24166156742804587,0.04474783289503869,0.21153683578762042,schema
ehmi_optimization_chi25,perceived_safety,0.4355767424150589,0.4264387687979598,0.029484459777485404,0.17171039507695918,schema
fact_av,perceived_safety,-0.0015565326897195716,-0.0015564199274566667,9.658114846643763e-05,0.009827570832430445,unknown
ehmi_optimization_chi25,trust_rating,0.3931535411741112,0.38490556478584315,0.029029085051393365,0.17037923890953782,schema
fact_av,trust_rating,-0.0014049334579330087,-0.0014048316782036179,9.658112678926232e-05,0.009827569729554826,schema
ehmi_optimization_chi25,understanding_rating,-0.19991776106938253,-0.19572368216582905,0.027544699456223655,0.1659659587271548,schema
fact_av,understanding_rating,0.0007144057523246713,0.0007143539975431645,9.658105612814535e-05,0.009827566134508857,schema
