study,dv,cohens_d,hedges_g,var_g,se_g,mapping_source
ehmi_for_all_chi26,AOA_SATISFYING,0.03738341578845629,0.037196186660968196,0.0066270978685500585,0.08140698906451496,unknown
roads_chi25,AOA_SATISFYING,-0.33205269317981767,-0.3162406601712549,0.061764945739575035,0.24852554343482489,unknown
ehmi_for_all_chi26,SUS1,-0.04539348421654281,-0.04534611710257772,0.001390316854400195,0.03728695287094663,schema
roads_chi25,SUS1,0.11841778491272056,0.11809453345254026,0.0036484534761437918,0.06040242938941936,schema
ehmi_for_all_chi26,SUS10,-0.18014553828874255,-0.1799575603357456,0.0014113782802236067,0.03756831484407581,schema
roads_chi25,SUS10,0.46994488249237243,0.46866204841823494,0.004021094412368797,0.06341209988928609,schema
ehmi_for_all_chi26,SUS2,-0.09902909336599001,-0.09892575865986898,0.0013956849345322436,0.03735886687966116,schema
roads_chi25,SUS2,0.2583367653025826,0.2576315694009377,0.003743431205710127,0.06118358608082831,schema
ehmi_for_all_chi26,SUS3,-0.00843733223810465,-0.008428528065334452,0.0013889382222814918,0.03726846149603565,schema
roads_chi25,SUS3,0.022010431925489533,0.0219503488538094,0.0036240612641572534,0.060200176612342705,schema
ehmi_for_all_chi26,SUS4,-0.18533465018024736,-0.1851412575017984,0.0014126925591870468,0.037585802627947786,schema
roads_chi25,SUS4,0.48348169612238406,0.48216190987273244,0.004044348020529205,0.06359518865864937,schema
ehmi_for_all_chi26,SUS5,-0.049654193623932884,-0.0496023805523253,0.0013905974973308735,0.037290715966992016,schema
roads_chi25,SUS5,0.12953267901895488,0.12917908662854827,0.0036534189065619313,0.06044351831720198,schema
ehmi_for_all_chi26,SUS6,-0.006763178009508128,-0.006756120780280815,0.0013889205869222208,0.03726822489631376,schema
roads_chi25,SUS6,0.017643073068281938,0.017594911813318476,0.0036237492408002147,0.0601975850080401,schema
ehmi_for_all_chi26,SUS7,0.03479272235115627,0.03475641690174636,0.0013897277836915612,0.037279052880827876,schema
roads_chi25,SUS7,-0.09076362352475602,-0.09051586113114886,0.0036380310165150605,0.06031609251696483,schema
ehmi_for_all_chi26,SUS8,0.0205518852212541,0.020530439775805834,0.001389181596498186,0.03727172650278205,schema
roads_chi25,SUS8,-0.053613613620663074,-0.05346726162715808,0.003628367297220846,0.060235930284348115,schema
ehmi_for_all_chi26,SUS9,-0.02792415382376242,-0.027895015576294147,0.0013894292582597235,0.03727504873584639,schema
roads_chi25,SUS9,0.07284561867068377,0.07264676802827062,0.0036327491900452055,0.06027229205899843,schema
roads_chi25,TLX_SCORE,0.2511686341296548,0.25048300546506064,0.003736850971063061,0.06112978791933652,unknown
running_into_traffic_chi26,TLX_SCORE,-0.2407032743742521,-0.24007371044825143,0.0035722836570284563,0.05976858419795852,unknown
roads_chi25,effort,0.5019730514331507,0.5006027883264179,0.00407717962260903,0.06385279651361427,schema
running_into_traffic_chi26,effort,-0.4810575076234362,-0.47979929269504007,0.003871887779983786,0.062224495015900175,schema
roads_chi25,frustration,0.280428120887939,0.2796626210129037,0.003764875328970665,0.061358579913249826,schema
running_into_traffic_chi26,frustration,-0.2687436158509414,-0.2680407118862049,0.003596954554216082,0.05997461591553615,schema
3d_display_comp_vehicle,mental_demand,-0.12002997786298043,-0.11797232109961506,0.02237686076161812,0.14958897272733082,schema
