study,dv,n,mean,sd,mean_z_vs_global,scale_note,mapping_source
running_into_traffic_chi26,mental_demand,288,4.868055555555555,4.505121402808773,-0.5115324906750112,,schema
ehmi_for_all_chi26,number_of_collisions,720,0.022222222222222223,0.17350371427064193,0.0,,schema
running_into_traffic_chi26,perceived_risk,288,2.4097222222222223,1.3115046785558144,0.0,,schema
running_into_traffic_chi26,perceived_safety,288,-1.9291666666666667,0.39858198130223516,-2.309312265261001,rescaled 0.0-20.0 -> -3.0-3.0,schema
3d_display_comp_vehicle,perceived_safety_item_01,45,1.5555555555555556,1.4547032742664796,0.46489762173184845,,unknown
ehmi_optimization_chi25,perceived_safety_item_01,680,2.2852941176470587,1.2650583070127943,0.9808728847285715,,unknown
fact_av,perceived_safety_item_01,2600,1.5007692307692309,1.9070350773592881,0.42615992879805614,,unknown
longitudinal_usa_germany_ehmi,perceived_safety_item_01,174,0.9597701149425287,1.5960905830057155,0.04363641206128384,,unknown
osf_cwd6h,perceived_safety_item_01,27,-1.8111111111111111,0.31663292667758086,-1.91556684731976,rescaled 0.0-20.0 -> -3.0-3.0,unknown
3d_display_comp_vehicle,perceived_safety_item_02,45,1.4,1.684150716641369,0.4011277689588431,,unknown
ehmi_optimization_chi25,perceived_safety_item_02,680,2.398529411764706,1.1062804571158318,1.070452831770847,,unknown
fact_av,perceived_safety_item_02,2600,1.445,2.012670044484342,0.43129175558925165,,unknown
longitudinal_usa_germany_ehmi,perceived_safety_item_02,174,0.9310344827586207,1.7020429985009962,0.08677511135458676,,unknown
osf_cwd6h,perceived_safety_item_02,27,-2.1666666666666665,0.3464101615137754,-1.989647467673528,rescaled 0.0-20.0 -> -3.0-3.0,unknown
3d_display_comp_vehicle,perceived_safety_item_03,45,1.711111111111111,1.3588468075778988,-0.0014126355611376394,,unknown
ehmi_optimization_chi25,perceived_safety_item_03,680,2.263235294117647,1.2363427004594214,0.3616342049147087,,unknown
fact_av,perceived_safety_item_03,2600,1.8384615384615384,1.7066686583092334,0.08232608066581332,,unknown
longitudinal_usa_germany_ehmi,perceived_safety_item_03,174,1.0402298850574712,1.7215371387971246,-0.44254765001938456,,unknown
3d_display_comp_vehicle,perceived_safety_item_04,45,1.511111111111111,1.2724747224176671,-0.09933412309492413,,unknown
ehmi_optimization_chi25,perceived_safety_item_04,680,2.323529411764706,1.1376690697391687,0.4676897911497887,,unknown
fact_av,perceived_safety_item_04,2600,1.7446153846153847,1.6773649399402941,0.06363919625145527,,unknown
longitudinal_usa_germany_ehmi,perceived_safety_item_04,174,1.0344827586206897,1.576183110911604,-0.43199486430631984,,unknown
roads_chi25,performance,276,8.971014492753623,6.130035775052668,-0.8341993716708795,,schema
running_into_traffic_chi26,performance,288,17.743055555555557,4.208414547117138,0.8341993716708792,,schema
roads_chi25,physical_demand,276,7.1268115942028984,5.133335472169019,0.40403174222847377,,schema
running_into_traffic_chi26,physical_demand,288,3.6006944444444446,3.4251986188810073,-0.40403174222847377,,schema
scrolling_in_the_deep_chi25,psychological_reactance,927,3.550809061488673,1.0284909436502105,0.0,,schema
road_bumps_touch,retention_time,216071,766.0112913502198,515.8568229726674,1.6597788537745275,,unknown
fact_av,situational_awareness,2600,20.69192307692308,6.994094974969799,1.6694453835394183,,schema
scrolling_in_the_deep_chi25,sleepiness,927,4.911542610571737,2.050850978109692,0.0,,schema
roads_chi25,temporal_demand,276,8.217391304347826,5.628807889852839,0.5438704220428391,,schema
running_into_traffic_chi26,temporal_demand,288,3.2430555555555554,3.184777660923297,-0.5438704220428391,,schema
ehmi_for_all_chi26,tia_item_01,720,3.3819444444444446,1.187536854140231,0.0,,schema
ehmi_for_all_chi26,tia_item_02,720,3.3041666666666667,1.1326409499738737,0.0,,schema
ehmi_for_all_chi26,tia_item_03,720,3.2222222222222223,1.3592747618586651,0.0,,schema
ehmi_for_all_chi26,tia_item_04,720,2.1819444444444445,1.1610060369229767,0.0,,schema
ehmi_for_all_chi26,tia_item_05,720,3.5708333333333333,1.1338682298777087,0.0,,schema
ehmi_for_all_chi26,tia_item_06,720,2.533333333333333,1.3244255059168963,0.0,,schema
fact_av,trust_rating,2600,4.035384615384616,0.9801305390410183,0.7102945747399099,,schema
running_into_traffic_chi26,trust_rating,288,3.2291666666666665,1.42265762003117,-0.05494483088891937,,schema
running_into_traffic_chi26,ueq_dependability,285,-1.5915789473684212,0.5619376358613825,0.0,rescaled 0.0-20.0 -> -3.0-3.0,schema
running_into_traffic_chi26,ueq_efficiency,285,-1.648421052631579,0.6175023221535976,0.0,rescaled 0.0-20.0 -> -3.0-3.0,schema
running_into_traffic_chi26,ueq_novelty,288,-1.771875,0.2751761393462472,0.0,rescaled 0.0-20.0 -> -3.0-3.0,schema
running_into_traffic_chi26,ueq_perspicuity,288,-1.7130208333333334,0.30622844445223835,0.0,rescaled 0.0-20.0 -> -3.0-3.0,schema
running_into_traffic_chi26,ueq_stimulation,288,-1.6604166666666669,0.561849701528811,-0.5453362972037797,rescaled 0.0-20.0 -> -3.0-3.0,schema
fact_av,understanding_rating,2600,4.101692307692308,0.74178132621156,0.34471209426641375,rescaled 0.0-20.0 -> 1.0-5.0,schema
running_into_traffic_chi26,understanding_rating,288,3.2256944444444446,1.4366165500527288,-0.45709112030298266,,schema
roads_chi25,usability,276,68.70471014492753,21.804351848932406,-0.07075369592609321,,unknown
scrolling_in_the_deep_chi25,valence,927,3.1553398058252426,1.0084047813164214,0.0,,schema
