study,dv,n,mean,sd,mean_z_vs_global,scale_note,mapping_source
ehmi_for_all_chi26,AOA_SATISFYING,151,-0.018211920529801324,0.2945325926338549,0.15842423561981128,,unknown
roads_chi25,AOA_SATISFYING,17,-0.1323529411764706,0.4156851183853697,-0.15842423561981125,,unknown
ehmi_for_all_chi26,AOA_USEFULNESS,148,1.4405405405405405,0.34203032006224643,0.4082363249373564,,unknown
ehmi_for_all_chi26,SUS1,720,3.4375,1.2631436928843192,-0.08293877650600158,,schema
roads_chi25,SUS1,276,3.641304347826087,1.1931457739709193,0.08293877650600158,,schema
ehmi_for_all_chi26,SUS10,720,1.6625,0.9050833877626384,-0.30922697837028573,,schema
roads_chi25,SUS10,276,2.2934782608695654,1.123676208408754,0.30922697837028573,,schema
ehmi_for_all_chi26,SUS2,720,1.8222222222222222,1.027605372568088,-0.17165832241379567,,schema
roads_chi25,SUS2,276,2.210144927536232,1.223722479237984,0.17165832241379547,,schema
ehmi_for_all_chi26,SUS3,720,3.720833333333333,1.1915835468383937,-0.015179768706459302,,schema
roads_chi25,SUS3,276,3.7572463768115942,1.207153687957942,0.015179768706459673,,schema
ehmi_for_all_chi26,SUS4,720,1.5194444444444444,0.8664089699258545,-0.3060089706941037,,schema
roads_chi25,SUS4,276,2.1847826086956523,1.2700409255489251,0.3060089706941037,,schema
ehmi_for_all_chi26,SUS5,720,3.4972222222222222,1.1698545755850631,-0.09247721125094609,,schema
roads_chi25,SUS5,276,3.699275362318841,1.009121769519442,0.09247721125094568,,schema
ehmi_for_all_chi26,SUS6,720,1.9430555555555555,1.142591348626089,-0.012177762160382806,,schema
roads_chi25,SUS6,276,1.9710144927536233,1.1532848200478634,0.012177762160382999,,schema
ehmi_for_all_chi26,SUS7,720,3.8652777777777776,1.0717850294886309,0.06074845102301476,,schema
roads_chi25,SUS7,276,3.7246376811594204,1.2374055905483947,-0.06074845102301476,,schema
ehmi_for_all_chi26,SUS8,720,2.373611111111111,1.205284268728264,0.03656993853318568,,schema
roads_chi25,SUS8,276,2.282608695652174,1.2819821609014554,-0.03656993853318568,,schema
ehmi_for_all_chi26,SUS9,720,3.4791666666666665,1.247912025268391,-0.051593068592554935,,schema
roads_chi25,SUS9,276,3.601449275362319,1.118699602687879,0.051593068592554935,,schema
roads_chi25,TLX_SCORE,276,7.916666666666667,4.179277884558962,0.24435153006712834,,unknown
running_into_traffic_chi26,TLX_SCORE,288,6.303819444444445,2.0777560362438825,-0.2443515300671281,,unknown
ehmi_optimization_chi25,acceptance_rating,740,6.3844594594594595,0.9495895301424373,0.0,,schema
ehmi_for_all_chi26,crossing_initiation_time,720,16.41415894375,7.181394399436414,0.0,,schema
roads_chi25,effort,276,8.065217391304348,4.872492767644811,0.4898974236817298,,schema
running_into_traffic_chi26,effort,288,3.892361111111111,3.5405383527554903,-0.48989742368172967,,schema
roads_chi25,frustration,276,7.108695652173913,5.334872966174301,0.27390730735320545,,schema
running_into_traffic_chi26,frustration,288,4.475694444444445,4.212074009358983,-0.2739073073532053,,schema
scrolling_in_the_deep_chi25,intervention_responsiveness,927,211.6569579288026,498.3748458205684,0.0,,schema
3d_display_comp_vehicle,mental_demand,45,7.4,4.937794870366547,0.018708728715952215,,schema
ehmi_for_all_chi26,mental_demand,720,9.027777777777779,4.733428665615225,0.35959885988776197,,schema
ehmi_optimization_chi25,mental_demand,1480,5.621621621621622,3.505825163903176,-0.3537202643288696,,schema
fact_av,mental_demand,2600,9.416538461538462,5.707568025098006,0.44101333936452614,,schema
roads_chi25,mental_demand,276,8.01086956521739,5.137727616299694,0.1466373741727715,,schema
