study,n,mean,sd,explained_variance_ratio,n_shared_dvs_used
3d_display_comp_vehicle,15,4.274358644806853e-16,0.2926833053088144,0.38215482601144535,17
ehmi_for_all_chi26,80,1.0158540675320183e-15,1.1174323001890636,0.38215482601144535,17
ehmi_optimization_chi25,777,-3.598794364185522e-15,1.478104019224493,0.38215482601144535,17
fact_av,10354,2.7222659985690044e-16,1.2374242382557095,0.38215482601144535,17
longitudinal_usa_germany_ehmi,56,4.2277689285949043e-16,0.2853178928629359,0.38215482601144535,17
roads_chi25,23,4.018524643480186e-16,0.3000190854223641,0.38215482601144535,17
