,AOA_SATISFYING,AOA_USEFULNESS,SUS1,SUS10,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,TLX_SCORE,acceptance_rating,crossing_initiation_time,effort,frustration,mental_demand,number_of_collisions,pedestrian_crossing_time,perceived_safety,performance,physical_demand,situational_awareness,temporal_demand,time_after_crossing,trust_rating,understanding_rating,usability
3d_display_comp_vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ehmi_for_all_chi26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
ehmi_optimization_chi25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
fact_av,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
fourtu_critical_ehmi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
longitudinal_usa_germany_ehmi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
osf_cwd6h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
road_bumps_touch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
roads_chi25,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1
