dv,omitted_study,random_effects_mean,random_effects_se,ci95_low,ci95_high,tau2,heterogeneity_i2_pct
mental_demand,3d_display_comp_vehicle,7.690074033667996,1.978363551501482,3.812481472725091,11.5676665946109,19.33434992175571,99.90001650158064
mental_demand,ehmi_for_all_chi26,7.365743601781102,2.0019808877370706,3.4418610618164442,11.28962614174576,19.639113908261145,99.89983615351301
mental_demand,ehmi_optimization_chi25,8.8750327659631,0.3528165646915441,8.183512299167674,9.566553232758526,0.3179879334638776,57.516763674797986
mental_demand,fact_av,7.268420718253006,1.7516108173506757,3.835263516245682,10.70157792026033,14.877820642422705,98.41321419758272
mental_demand,longitudinal_usa_germany_ehmi,7.379189642744471,1.994833031079876,3.469316901827914,11.289062383661028,19.520701385521477,99.89989633140866
mental_demand,roads_chi25,7.570388222397811,1.9968597610654621,3.656543090709505,11.484233354086117,19.557230592488132,99.90000236644467
perceived_safety,ehmi_for_all_chi26,1.6383861065963081,0.016659754890265582,1.6057329870113877,1.6710392261812286,0.0,96.54107950115474
perceived_safety,ehmi_optimization_chi25,1.6332542958788943,0.016479575002792034,1.6009543288734218,1.6655542628843667,0.0,69.89328313255287
perceived_safety,fact_av,1.9558278431425729,0.07356121140147887,1.8116478687956743,2.1000078174894714,0.0,92.2238699397844
trust_rating,ehmi_for_all_chi26,4.037985490793737,0.00955691038579485,4.019253946437579,4.056717035149895,0.0,92.87929313470778
trust_rating,ehmi_optimization_chi25,3.993190075176569,0.009398390390665463,3.974769230010865,4.011610920342274,0.0,99.77811773748519
trust_rating,fact_av,3.2676752101807938,0.04212095807319409,3.185118132357333,3.3502322880042543,0.0,99.3453458899066
