study_a,study_b,shared_dv_count,union_dv_count,jaccard_overlap,shared_dvs,study_a_only_dvs,study_b_only_dvs
ehmi_for_all_chi26,ehmi_optimization_chi25,2,35,0.05714285714285714,mental_demand; trust_rating,AOA_SATISFYING; AOA_USEFULNESS; SUS1; SUS10; SUS2; SUS3; SUS4; SUS5; SUS6; SUS7; SUS8; SUS9; crossing_initiation_time; number_of_collisions; retention_time; tia_item_01; tia_item_02; tia_item_03; tia_item_04; tia_item_05; tia_item_06; time_after_crossing; usability,AOA1; AOA2; acceptance_rating; perceived_safety; perceived_safety_item_01; perceived_safety_item_02; perceived_safety_item_03; perceived_safety_item_04; sts_ad_trust; understanding_rating
ehmi_for_all_chi26,fact_av,2,41,0.04878048780487805,mental_demand; trust_rating,AOA_SATISFYING; AOA_USEFULNESS; SUS1; SUS10; SUS2; SUS3; SUS4; SUS5; SUS6; SUS7; SUS8; SUS9; crossing_initiation_time; number_of_collisions; retention_time; tia_item_01; tia_item_02; tia_item_03; tia_item_04; tia_item_05; tia_item_06; time_after_crossing; usability,jian_trust; perceived_safety; perceived_safety_item_01; perceived_safety_item_02; perceived_safety_item_03; perceived_safety_item_04; sart_demand; sart_supply; sart_understanding; situational_awareness; tia_intention_of_developers; tia_reliability_competence; tia_trust_in_automation; tia_understanding_predictability; understanding_rating; utaut_performance_expectancy
ehmi_for_all_chi26,longitudinal_usa_germany_ehmi,2,37,0.05405405405405406,mental_demand; trust_rating,AOA_SATISFYING; AOA_USEFULNESS; SUS1; SUS10; SUS2; SUS3; SUS4; SUS5; SUS6; SUS7; SUS8; SUS9; crossing_initiation_time; number_of_collisions; retention_time; tia_item_01; tia_item_02; tia_item_03; tia_item_04; tia_item_05; tia_item_06; time_after_crossing; usability,pedestrian_crossing_time; perceived_safety; perceived_safety_item_01; perceived_safety_item_02; perceived_safety_item_03; perceived_safety_item_04; sart_total; tia_intention_of_developers; tia_understanding_predictability; ueq_hedonic; utaut_behavioral_intention; utaut_performance_expectancy
ehmi_for_all_chi26,osf_cwd6h,1,31,0.03225806451612903,trust_rating,AOA_SATISFYING; AOA_USEFULNESS; SUS1; SUS10; SUS2; SUS3; SUS4; SUS5; SUS6; SUS7; SUS8; SUS9; crossing_initiation_time; mental_demand; number_of_collisions; retention_time; tia_item_01; tia_item_02; tia_item_03; tia_item_04; tia_item_05; tia_item_06; time_after_crossing; usability,engagement_level; ipq_experienced_realism; perceived_safety; perceived_safety_item_01; perceived_safety_item_02; tia_propensity_to_trust
ehmi_for_all_chi26,psych_conflict_handling,0,25,0.0,,AOA_SATISFYING; AOA_USEFULNESS; SUS1; SUS10; SUS2; SUS3; SUS4; SUS5; SUS6; SUS7; SUS8; SUS9; crossing_initiation_time; mental_demand; number_of_collisions; retention_time; tia_item_01; tia_item_02; tia_item_03; tia_item_04; tia_item_05; tia_item_06; time_after_crossing; trust_rating; usability,
ehmi_for_all_chi26,road_bumps_touch,1,37,0.02702702702702703,retention_time,AOA_SATISFYING; AOA_USEFULNESS; SUS1; SUS10; SUS2; SUS3; SUS4; SUS5; SUS6; SUS7; SUS8; SUS9; crossing_initiation_time; mental_demand; number_of_collisions; tia_item_01; tia_item_02; tia_item_03; tia_item_04; tia_item_05; tia_item_06; time_after_crossing; trust_rating; usability,AOA1; attrakdiff_att; brake_reaction_time; dali_total; godspeed_perceived_intelligence; interaction_events; takeover_time; tam_perceived_ease_of_use; task_completion_time; tia_trust_in_automation; ttc; ueq_stimulation
ehmi_for_all_chi26,roads_chi25,15,32,0.46875,AOA_SATISFYING; AOA_USEFULNESS; SUS1; SUS10; SUS2; SUS3; SUS4; SUS5; SUS6; SUS7; SUS8; SUS9; mental_demand; retention_time; usability,crossing_initiation_time; number_of_collisions; tia_item_01; tia_item_02; tia_item_03; tia_item_04; tia_item_05; tia_item_06; time_after_crossing; trust_rating,TLX_SCORE; effort; frustration; pedestrian_crossing_time; performance; physical_demand; temporal_demand
ehmi_for_all_chi26,running_into_traffic_chi26,2,39,0.05128205128205128,mental_demand; trust_rating,AOA_SATISFYING; AOA_USEFULNESS; SUS1; SUS10; SUS2; SUS3; SUS4; SUS5; SUS6; SUS7; SUS8; SUS9; crossing_initiation_time; number_of_collisions; retention_time; tia_item_01; tia_item_02; tia_item_03; tia_item_04; tia_item_05; tia_item_06; time_after_crossing; usability,TLX_SCORE; effort; frustration; perceived_risk; perceived_safety; performance; physical_demand; temporal_demand; ueq_dependability; ueq_efficiency; ueq_novelty; ueq_perspicuity; ueq_stimulation; understanding_rating
ehmi_for_all_chi26,scrolling_in_the_deep_chi25,0,29,0.0,,AOA_SATISFYING; AOA_USEFULNESS; SUS1; SUS10; SUS2; SUS3; SUS4; SUS5; SUS6; SUS7; SUS8; SUS9; crossing_initiation_time; mental_demand; number_of_collisions; retention_time; tia_item_01; tia_item_02; tia_item_03; tia_item_04; tia_item_05; tia_item_06; time_after_crossing; trust_rating; usability,intervention_responsiveness; psychological_reactance; sleepiness; valence
ehmi_optimization_chi25,fact_av,8,22,0.36363636363636365,mental_demand; perceived_safety; perceived_safety_item_01; perceived_safety_item_02; perceived_safety_item_03; perceived_safety_item_04; trust_rating; understanding_rating,AOA1; AOA2; acceptance_rating; sts_ad_trust,jian_trust; sart_demand; sart_supply; sart_understanding; situational_awareness; tia_intention_of_developers; tia_reliability_competence; tia_trust_in_automation; tia_understanding_predictability; utaut_performance_expectancy
