study_name,dataset_url,source_type,domain,task,notes
roads_chi25,https://github.com/M-Colley/roads-chi25-data,github_repo,automated-driving,road-user interaction,Existing GitHub example dataset
ehmi_optimization_chi25,https://github.com/M-Colley/ehmi-optimization-chi25-data,github_repo,automated-driving,eHMI optimization,Existing GitHub example dataset
osf_cwd6h,https://osf.io/cwd6h/overview,osf_project,automated-driving,pedestrian trust,Existing OSF example dataset
road_bumps_touch,https://github.com/interactionlab/Touch-Interaction-with-Road-Bumps/tree/master/data,github_repo,haptics,touch interaction with road bumps,Scoped GitHub tree example with CSV and PKL files
fourtu_critical_ehmi,https://data.4tu.nl/articles/_/20224281,web_dataset,automated-driving,critical driver-pedestrian encounters,4TU landing-page example that downloads a ZIP archive
3d_display_comp_vehicle,https://github.com/M-Colley/3d-display-comp-vehicle,github_repo,automated-driving,3D display UX in AVs,TLX SART Trust Understanding Perceived Safety (N=15 within-subject)
longitudinal_usa_germany_ehmi,https://github.com/M-Colley/longitudinal_usa_germany_eHMI_comparison,github_repo,automated-driving,eHMI longitudinal USA vs Germany,TLX Trust Understanding UEQ Perceived Safety (N=52 two substudies)
ehmi_for_all_chi26,https://github.com/M-Colley/ehmi-for-all-chi26-data,github_repo,automated-driving,eHMI for pedestrians drivers cyclists,TLX SUS AOA Trust Perceived Safety (CHI 2026)
fact_av,https://github.com/M-Colley/FACT-AV,github_repo,automated-driving,AV interaction factors,Trust acceptance factors for automated vehicles
